stimulus,ball_index,order,collision_magnitude,mapping_ease,support_count,support_gate
1,1,3,0.0,0.0,0,0
1,2,1,1.0,1.0,1,1
1,3,2,0.0,0.0,0,0
2,1,2,0.0,0.0,0,0
2,2,3,0.0,0.0,0,0
2,3,1,1.0,1.0,1,1
3,1,1,1.0,1.0,1,1
3,2,2,0.0,0.0,0,0
3,3,3,0.0,0.0,0,0
4,1,1,1.0,1.0,1,1
4,2,2,0.0,0.0,0,0
4,3,3,0.0,0.0,0,0
5,1,1,1.0,1.0,1,1
5,2,2,0.0,0.0,0,0
5,3,3,0.0,0.0,0,0
6,1,2,0.0,0.0,0,0
6,2,1,1.0,1.0,1,1
6,3,3,0.0,0.0,0,0
7,1,2,0.0,0.0,0,0
7,2,3,0.34678461114556297,0.28,1,1
7,3,1,1.0,1.0,1,1
8,1,3,0.0,0.0,0,0
8,2,1,1.0,1.0,1,1
8,3,2,0.3251784846420659,0.495,1,1
9,1,2,0.1033729180355296,0.515,1,1
9,2,1,1.0,1.0,1,1
9,3,3,0.0,0.0,0,0
10,1,3,0.0,0.0,0,0
10,2,2,0.44444444487000073,0.635,1,1
10,3,1,1.0,1.0,1,1
11,1,3,0.0,0.0,0,0
11,2,1,1.0,1.0,1,1
11,3,2,0.0,0.0,0,0
12,1,1,1.0,1.0,1,1
12,2,2,0.0,0.0,0,0
12,3,3,0.0,0.0,0,0
13,1,1,1.0,1.0,1,1
13,2,2,0.2516932739842411,0.605,1,1
13,3,3,0.0,0.0,0,0
14,1,1,1.0,1.0,1,1
14,2,2,0.10620483648317411,0.405,1,1
14,3,3,0.0,0.0,0,0
15,1,2,0.0,0.0,0,0
15,2,3,0.0,0.0,0,0
15,3,1,1.0,1.0,1,1
16,1,2,0.06693670005497279,0.3,1,1
16,2,1,1.0,1.0,1,1
16,3,3,0.07731018320808797,0.36,1,1
17,1,2,0.0,0.0,0,0
17,2,3,0.0,0.0,0,0
17,3,1,1.0,0.91,1,1
18,1,2,0.25430252797897995,0.305,1,1
18,2,1,1.0,1.0,1,1
18,3,3,0.0,0.0,0,0
