stimulus,ball_index,order,RICK
1,1,3,0.0
1,2,1,100.0
1,3,2,0.0
2,1,3,0.0
2,2,2,0.0
2,3,1,100.0
3,1,1,100.0
3,2,2,0.0
3,3,3,0.0
4,1,1,100.0
4,2,2,0.0
4,3,3,0.0
5,1,1,100.0
5,2,2,0.0
5,3,3,0.0
6,1,2,0.0
6,2,1,100.0
6,3,3,0.0
7,1,3,0.0
7,2,2,28.177278969691365
7,3,1,71.82272103030863
8,1,3,0.0
8,2,1,66.73714570751041
8,3,2,33.26285429248961
9,1,2,17.709104403924865
9,2,1,82.29089559607515
9,3,3,0.0
10,1,3,0.0
10,2,2,40.77374574749707
10,3,1,59.22625425250292
11,1,3,0.0
11,2,1,100.0
11,3,2,0.0
12,1,1,100.0
12,2,2,0.0
12,3,3,0.0
13,1,1,62.10678717981503
13,2,2,37.89321282018497
13,3,3,0.0
14,1,1,82.41809759384002
14,2,2,17.581902406159987
14,3,3,0.0
15,1,2,0.0
15,2,3,0.0
15,3,1,100.0
16,1,2,10.470193508746336
16,2,1,89.52980649125367
16,3,3,0.0
17,1,2,0.0
17,2,3,0.0
17,3,1,100.0
18,1,2,24.210506294618586
18,2,1,75.78949370538142
18,3,3,0.0
